"ACAL00"	"ACAL01"	"ACAL02"	"ACAL03"	"ACAL04"	"ACAL05"	"ACAL06"	"ACAL07"	"ACAL08"	"ACAL09"	"ACAL10"
"Compound19"	0	0.0262	0.0655	0.1638	0.4096	1.024	2.56	6.4	16	40	100
"Compound17"	0	0.0262	0.0655	0.1638	0.4096	1.024	2.56	6.4	16	40	100
"Compound16"	0	0.0262	0.0655	0.1638	0.4096	1.024	2.56	6.4	16	40	100
"Compound22"	0	0.0262	0.0655	0.1638	0.4096	1.024	2.56	6.4	16	40	100
"Compound1"	0	0.0262	0.0655	0.1638	0.4096	1.024	2.56	6.4	16	40	100
"Compound6"	0	0.0655	0.1638	0.4096	1.024	2.56	6.4	16	40	100	250
"Compound9"	0	0.0655	0.1638	0.4096	1.024	2.56	6.4	16	40	100	250
"Compound2"	0	0.0655	0.1638	0.4096	1.024	2.56	6.4	16	40	100	250
"Compound3"	0	0.0039	0.0098	0.0246	0.0614	0.1536	0.384	0.96	2.4	6	15
"Compound24"	0	0.0039	0.0098	0.0246	0.0614	0.1536	0.384	0.96	2.4	6	15
"Compound20"	0	0.0039	0.0098	0.0246	0.0614	0.1536	0.384	0.96	2.4	6	15
"Compound23"	0	0.0039	0.0098	0.0246	0.0614	0.1536	0.384	0.96	2.4	6	15
"Compound12"	0	0.0039	0.0098	0.0246	0.0614	0.1536	0.384	0.96	2.4	6	15
"Compound21"	0	0.0039	0.0098	0.0246	0.0614	0.1536	0.384	0.96	2.4	6	15
"Compound8"	0	0.0039	0.0098	0.0246	0.0614	0.1536	0.384	0.96	2.4	6	15
"Compound11"	0	0.0039	0.0098	0.0246	0.0614	0.1536	0.384	0.96	2.4	6	15
"Compound14"	0	0.0039	0.0098	0.0246	0.0614	0.1536	0.384	0.96	2.4	6	15
"Compound5"	0	0.0328	0.0819	0.2048	0.512	1.28	3.2	8	20	50	125
"Compound4"	0	0.0328	0.0819	0.2048	0.512	1.28	3.2	8	20	50	125
"Compound10"	0	0.2621	0.6554	1.6384	4.096	10.24	25.6	64	160	400	1000
"Compound13"	0	0.2621	0.6554	1.6384	4.096	10.24	25.6	64	160	400	1000
"Compound18"	0	0.0419	0.1049	0.2621	0.6554	1.6384	4.096	10.24	25.6	64	160
"Compound7"	0	0.0131	0.0328	0.0819	0.2048	0.512	1.28	3.2	8	20	50
"Compound15"	0	0.0131	0.0328	0.0819	0.2048	0.512	1.28	3.2	8	20	50
