#1
Name	S-1-P 16(1)
	Flags	Flag ID	Data Filename	Sample Name	Sample ID	Sample Type	Cal Point	Level	RT	Ret. Index	Actual Ret. Index	Unit	Area	Height	Std. Conc.	Conc.	%Diff	ISTD Area	ISTD Height	Area Ratio	Height Ratio	Peak Start	Peak End	Tailing F.	S/N	SI	Noise	RRT	Ref. RRT	%Dev RRT	Ref. Mode	Ref 1 m/z	Ref 1 Range	Ref 1 Set Ratio	Ref 1 Actual Ratio	Ref 1 Measured	Ref 1 Conc.	Ref 1 Std Ratio %Diff	Ref 2 m/z	Ref 2 Range	Ref 2 Set Ratio	Ref 2 Actual Ratio	Ref 2 Measured	Ref 2 Conc.	Ref 2 Std Ratio %Diff	Ref 3 m/z	Ref 3 Range	Ref 3 Set Ratio	Ref 3 Actual Ratio	Ref 3 Measured	Ref 3 Conc.	Ref 3 Std Ratio %Diff	Ref 4 m/z	Ref 4 Range	Ref 4 Set Ratio	Ref 4 Actual Ratio	Ref 4 Measured	Ref 4 Conc.	Ref 4 Std Ratio %Diff	Ref 5 m/z	Ref 5 Range	Ref 5 Set Ratio	Ref 5 Actual Ratio	Ref 5 Measured	Ref 5 Conc.	Ref 5 Std Ratio %Diff	Accuracy(%)	RT %Diff	RT Diff	Vial	Tray	Inj Vol	Acquired Date	Acquired By	%RSD (Conc)	%RSD (Area)	Type	ISTD Group	m/z	Concentrations[1]	Concentrations[2]	Concentrations[3]	Concentrations[4]	Concentrations[5]	Concentrations[6]	Concentrations[7]	Concentrations[8]	Concentrations[9]	Concentrations[10]	Concentrations[11]	Concentrations[12]	Concentrations[13]	Concentrations[14]	Concentrations[15]	Concentrations[16]	Concentrations[17]	Concentrations[18]	Concentrations[19]	Concentrations[20]	Concentrations[21]	Concentrations[22]	Concentrations[23]	Concentrations[24]	Concentrations[25]	Concentrations[26]	Concentrations[27]	Concentrations[28]	Concentrations[29]	Concentrations[30]	Concentrations[31]	Concentrations[32]	Concentrations[33]	Concentrations[34]	Concentrations[35]	Concentrations[36]	Concentrations[37]	Concentrations[38]	Concentrations[39]	Concentrations[40]	Concentrations[41]	Concentrations[42]	Concentrations[43]	Concentrations[44]	Concentrations[45]	Concentrations[46]	Concentrations[47]	Concentrations[48]	Concentrations[49]	Concentrations[50]	Concentrations[51]	Concentrations[52]	Concentrations[53]	Concentrations[54]	Concentrations[55]	Concentrations[56]	Concentrations[57]	Concentrations[58]	Concentrations[59]	Concentrations[60]	Concentrations[61]	Concentrations[62]	Concentrations[63]	Concentrations[64]	Event	Band	Slope	Width	Drift	Calc.by	Curve	Zero	Weight	Window/Band	Spiked	Noise From	Noise To	Found RT	Recovery	Mode	Mode ID	Sample Amt.	Dil. Factor	Quant Method	R²	R	Status	Average Conc.	Average Conc. (R1,R2)	ISTD RT Diff	Std RT Diff	ISTD RT	%Conc. Outside Curve	Lib. SI	Lib. RT	Lib. Compound Name	Lib. errRT	CAS #	Formula	Mol. Weight	Comment 1	Comment 2	Lib. CAS #	Lib. Synonym	Lib. Theory MW	Lib. Formula	Lib. Class	Lib. URL	Lib. Comment	Lib. Chromatogram Comment	Lib. Adduct Ion	Lib. Precursor Ion	Lib. SP ID of Precursor Ion	Lib. MS Stage	Lib. Ionization	Lib. Collision Energy	Lib. Instrument	Lib. Data Filename	Lib. Acquired By	Lib. Acquired	Lib. Sample Info	3rd Coeff.	2nd Coeff.	1st Coeff.	Intersection	Lib. Filename	Original Method Filename	Group #	Tailing F(10%)	Width(50%)	Noise Calc. Method	Group Type	Custom Calc. Result 1	Custom Calc. Result 2	Custom Calc. Result 3	Custom Calc. Result 4	Custom Calc. Result 5	Ref 1 S/N	Ref 2 S/N	Ref 3 S/N	Ref 4 S/N	Ref 5 S/N	Ref. Ions	Asymmetry	Data Comment	ISTD Name	RF	RF %RSD (level)	RF Mean (level)	RF SD (level)	Comment	Ref 1 Noise	Ref 2 Noise	Ref 3 Noise	Ref 4 Noise	Ref 5 Noise	ISTD Amount	 +/- ppm	ISTD %Diff (Stds) Area	ISTD %Diff (Controls) Area	Std. Conc. Factor	Correction Factor	Confidence	RF Mean (curve)	RF SD (curve)	RF %RSD (curve)	RF Deviation	Ref STD ID	Ref 1 Result	Ref 2 Result	Ref 3 Result	Ref 4 Result	Ref 5 Result	Ref 1 RRT	Ref 2 RRT	Ref 3 RRT	Ref 4 RRT	Ref 5 RRT
1			2035RAB_0001BLANK_A1	2035RAB_0001BLANK_A1	2035RAB_0001BLANK_A1	Unknown	No		2.742	0.00		ppm																	0.846		Simply Calculate																																							1	1	5.0000	04/03/2021 14:38:52	System Administrator			Target	2	350.00>79.05	1	1	1	1	1	1	1																																																										17	0.100	10.00	10.000	0.0000	Area				Window	0.00000					No peak is found in the Window/Band range	ND(W/B)	1.00000	1.00000	Internal Standard	0.0000000	0.0000000	Pending													0.0000																								0.0000000	0.0000000		Signalling_High_20190806.lcm																			S-1-P 17(1)											1.0000				1.000000	1.000000																
2			2035RAB_0001BLANK_B1	2035RAB_0001BLANK_B1	2035RAB_0001BLANK_B1	Unknown	No		2.742	0.00		ppm																	0.846		Simply Calculate																																							8	1	5.0000	04/03/2021 16:00:44	System Administrator			Target	2	350.00>79.05	1	1	1	1	1	1	1																																																										17	0.100	10.00	10.000	0.0000	Area				Window	0.00000					No peak is found in the Window/Band range	ND(W/B)	1.00000	1.00000	Internal Standard	0.0000000	0.0000000	Pending													0.0000																								0.0000000	0.0000000		Signalling_High_20190806.lcm																			S-1-P 17(1)											1.0000				1.000000	1.000000																
3			2035RAB_0001BLANK_C1	2035RAB_0001BLANK_C1	2035RAB_0001BLANK_C1	Unknown	No		2.742	0.00		ppm																	0.846		Simply Calculate																																							85	1	5.0000	05/03/2021 07:01:09	System Administrator			Target	2	350.00>79.05	1	1	1	1	1	1	1																																																										17	0.100	10.00	10.000	0.0000	Area				Window	0.00000					No peak is found in the Window/Band range	ND(W/B)	1.00000	1.00000	Internal Standard	0.0000000	0.0000000	Pending													0.0000																								0.0000000	0.0000000		Signalling_High_20190806.lcm																			S-1-P 17(1)											1.0000				1.000000	1.000000																
4			2035RAB_0001BLANK_D1 (BLSST)	2035RAB_0001BLANK_D1 (BLSST)	2035RAB_0001BLANK_D1 (BLSST)	Unknown	No		2.742	0.00		ppm																	0.846		Simply Calculate																																							101	1	5.0000	05/03/2021 07:24:31	System Administrator			Target	2	350.00>79.05	1	1	1	1	1	1	1																																																										17	0.100	10.00	10.000	0.0000	Area				Window	0.00000					No peak is found in the Window/Band range	ND(W/B)	1.00000	1.00000	Internal Standard	0.0000000	0.0000000	Pending													0.0000																								0.0000000	0.0000000		Signalling_High_20190806.lcm																			S-1-P 17(1)											1.0000				1.000000	1.000000																
5			2035RAB_0001ACAL0_A1	2035RAB_0001ACAL0_A1	2035RAB_0001ACAL0_A1	Unknown	No		2.742	0.00		ppm						3294196	1471523										0.846		Simply Calculate																																							9	1	5.0000	04/03/2021 16:12:25	System Administrator			Target	2	350.00>79.05	1	1	1	1	1	1	1																																																										17	0.100	10.00	10.000	0.0000	Area				Window	0.00000					No peak is found in the Window/Band range	ND(W/B)	1.00000	1.00000	Internal Standard	0.0000000	0.0000000	Pending					3.18								0.0000																								0.0000000	0.0000000		Signalling_High_20190806.lcm																			S-1-P 17(1)											1.0000				1.000000	1.000000																
6			2035RAB_0001ACAL2_A1	2035RAB_0001ACAL2_A1	2035RAB_0001ACAL2_A1	Unknown	No		2.742	0.00		ppm						3674753	1609296										0.846		Simply Calculate																																							10	1	5.0000	04/03/2021 16:24:06	System Administrator			Target	2	350.00>79.05	1	1	1	1	1	1	1																																																										17	0.100	10.00	10.000	0.0000	Area				Window	0.00000					No peak is found in the Window/Band range	ND(W/B)	1.00000	1.00000	Internal Standard	0.0000000	0.0000000	Pending					3.17								0.0000																								0.0000000	0.0000000		Signalling_High_20190806.lcm																			S-1-P 17(1)											1.0000				1.000000	1.000000																
7			2035RAB_0001ACAL4_A1	2035RAB_0001ACAL4_A1	2035RAB_0001ACAL4_A1	Unknown	No		2.742	0.00		ppm						3882875	1660816										0.846		Simply Calculate																																							11	1	5.0000	04/03/2021 16:35:48	System Administrator			Target	2	350.00>79.05	1	1	1	1	1	1	1																																																										17	0.100	10.00	10.000	0.0000	Area				Window	0.00000					No peak is found in the Window/Band range	ND(W/B)	1.00000	1.00000	Internal Standard	0.0000000	0.0000000	Pending					3.17								0.0000																								0.0000000	0.0000000		Signalling_High_20190806.lcm																			S-1-P 17(1)											1.0000				1.000000	1.000000																
8			2035RAB_0001ACAL6_A1	2035RAB_0001ACAL6_A1	2035RAB_0001ACAL6_A1	Unknown	No		2.742	0.00		ppm						3718817	1669296										0.846		Simply Calculate																																							12	1	5.0000	04/03/2021 16:47:30	System Administrator			Target	2	350.00>79.05	1	1	1	1	1	1	1																																																										17	0.100	10.00	10.000	0.0000	Area				Window	0.00000					No peak is found in the Window/Band range	ND(W/B)	1.00000	1.00000	Internal Standard	0.0000000	0.0000000	Pending					3.17								0.0000																								0.0000000	0.0000000		Signalling_High_20190806.lcm																			S-1-P 17(1)											1.0000				1.000000	1.000000																
9			2035RAB_0001ACAL8_A1	2035RAB_0001ACAL8_A1	2035RAB_0001ACAL8_A1	Unknown	No		2.742	0.00		ppm						2895971	1460869										0.846		Simply Calculate																																							13	1	5.0000	04/03/2021 16:59:12	System Administrator			Target	2	350.00>79.05	1	1	1	1	1	1	1																																																										17	0.100	10.00	10.000	0.0000	Area				Window	0.00000					No peak is found in the Window/Band range	ND(W/B)	1.00000	1.00000	Internal Standard	0.0000000	0.0000000	Pending					3.15								0.0000																								0.0000000	0.0000000		Signalling_High_20190806.lcm																			S-1-P 17(1)											1.0000				1.000000	1.000000																
10			2035RAB_0001CAL0_A1	2035RAB_0001CAL0_A1	2035RAB_0001CAL0_A1	Unknown	No		2.742	0.00	0.00	ppm	394416	213534		0.0000		1888168	792869	0.209	0.269	2.681	3.042	1.584	1837.31		116.22	0.877	0.846	3.709	Simply Calculate																																					0.66	0.018	3	1	5.0000	04/03/2021 15:02:14	System Administrator			Target	2	350.00>79.05	1	1	1	1	1	1	1																																																										17	0.100	10.00	10.000	0.0000	Area				Window	0.00000	1.801	3.498	2.760		Auto	Auto	1.00000	1.00000	Internal Standard	0.0000000	0.0000000	Pending	0.0000	0.0000	 -0.39		3.15								0.0000																								0.0000000	0.0000000		Signalling_High_20190806.lcm		1.142	0.028	rms		0.00000	0.00000	0.00000	0.00000	0.00000							1.284		S-1-P 17(1)											1.0000				1.000000	1.000000																
